 iteration        1/    1000 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 83781.7 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.082687E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.222 | tokens per gpu per second (tgs): 1564.447 | TFLOPs: 1.35 |
 iteration      557/    1000 | consumed samples:       570368 | consumed tokens:    146014208 | elapsed time per iteration (ms): 81848.1 | learning rate: 2.819E-05 | global batch size:  1024 | lm loss: 6.478336E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.511 | tokens per gpu per second (tgs): 1601.405 | TFLOPs: 1.38 |
 iteration      558/    1000 | consumed samples:       571392 | consumed tokens:    146276352 | elapsed time per iteration (ms): 81722.9 | learning rate: 2.811E-05 | global batch size:  1024 | lm loss: 6.480479E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.530 | tokens per gpu per second (tgs): 1603.859 | TFLOPs: 1.38 |
 iteration      559/    1000 | consumed samples:       572416 | consumed tokens:    146538496 | elapsed time per iteration (ms): 81779.3 | learning rate: 2.802E-05 | global batch size:  1024 | lm loss: 6.449149E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.522 | tokens per gpu per second (tgs): 1602.752 | TFLOPs: 1.38 |
 iteration      560/    1000 | consumed samples:       573440 | consumed tokens:    146800640 | elapsed time per iteration (ms): 81868.8 | learning rate: 2.794E-05 | global batch size:  1024 | lm loss: 6.474001E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.508 | tokens per gpu per second (tgs): 1601.001 | TFLOPs: 1.38 |
 iteration      561/    1000 | consumed samples:       574464 | consumed tokens:    147062784 | elapsed time per iteration (ms): 81710.3 | learning rate: 2.786E-05 | global batch size:  1024 | lm loss: 6.461062E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.532 | tokens per gpu per second (tgs): 1604.106 | TFLOPs: 1.38 |
 iteration      562/    1000 | consumed samples:       575488 | consumed tokens:    147324928 | elapsed time per iteration (ms): 81935.8 | learning rate: 2.777E-05 | global batch size:  1024 | lm loss: 6.457770E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.498 | tokens per gpu per second (tgs): 1599.692 | TFLOPs: 1.38 |
 iteration      563/    1000 | consumed samples:       576512 | consumed tokens:    147587072 | elapsed time per iteration (ms): 81843.6 | learning rate: 2.769E-05 | global batch size:  1024 | lm loss: 6.439074E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.512 | tokens per gpu per second (tgs): 1601.493 | TFLOPs: 1.38 |
 iteration      564/    1000 | consumed samples:       577536 | consumed tokens:    147849216 | elapsed time per iteration (ms): 81755.9 | learning rate: 2.761E-05 | global batch size:  1024 | lm loss: 6.443030E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.525 | tokens per gpu per second (tgs): 1603.211 | TFLOPs: 1.38 |
 iteration      565/    1000 | consumed samples:       578560 | consumed tokens:    148111360 | elapsed time per iteration (ms): 82017.6 | learning rate: 2.752E-05 | global batch size:  1024 | lm loss: 6.481078E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.485 | tokens per gpu per second (tgs): 1598.096 | TFLOPs: 1.37 |
 iteration      566/    1000 | consumed samples:       579584 | consumed tokens:    148373504 | elapsed time per iteration (ms): 82394.6 | learning rate: 2.744E-05 | global batch size:  1024 | lm loss: 6.461980E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.428 | tokens per gpu per second (tgs): 1590.785 | TFLOPs: 1.37 |
 iteration      567/    1000 | consumed samples:       580608 | consumed tokens:    148635648 | elapsed time per iteration (ms): 82295.9 | learning rate: 2.736E-05 | global batch size:  1024 | lm loss: 6.450265E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.443 | tokens per gpu per second (tgs): 1592.691 | TFLOPs: 1.37 |
 iteration      568/    1000 | consumed samples:       581632 | consumed tokens:    148897792 | elapsed time per iteration (ms): 81782.4 | learning rate: 2.728E-05 | global batch size:  1024 | lm loss: 6.470103E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.521 | tokens per gpu per second (tgs): 1602.691 | TFLOPs: 1.38 |
 iteration      569/    1000 | consumed samples:       582656 | consumed tokens:    149159936 | elapsed time per iteration (ms): 81956.4 | learning rate: 2.719E-05 | global batch size:  1024 | lm loss: 6.423534E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.494 | tokens per gpu per second (tgs): 1599.289 | TFLOPs: 1.38 |
 iteration      570/    1000 | consumed samples:       583680 | consumed tokens:    149422080 | elapsed time per iteration (ms): 81918.0 | learning rate: 2.711E-05 | global batch size:  1024 | lm loss: 6.465509E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.500 | tokens per gpu per second (tgs): 1600.039 | TFLOPs: 1.38 |
 iteration      571/    1000 | consumed samples:       584704 | consumed tokens:    149684224 | elapsed time per iteration (ms): 81746.0 | learning rate: 2.703E-05 | global batch size:  1024 | lm loss: 6.447515E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.527 | tokens per gpu per second (tgs): 1603.405 | TFLOPs: 1.38 |
 iteration      572/    1000 | consumed samples:       585728 | consumed tokens:    149946368 | elapsed time per iteration (ms): 81793.3 | learning rate: 2.694E-05 | global batch size:  1024 | lm loss: 6.418615E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.519 | tokens per gpu per second (tgs): 1602.478 | TFLOPs: 1.38 |
 iteration      573/    1000 | consumed samples:       586752 | consumed tokens:    150208512 | elapsed time per iteration (ms): 81980.1 | learning rate: 2.686E-05 | global batch size:  1024 | lm loss: 6.474052E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.491 | tokens per gpu per second (tgs): 1598.828 | TFLOPs: 1.38 |
 iteration      574/    1000 | consumed samples:       587776 | consumed tokens:    150470656 | elapsed time per iteration (ms): 81765.4 | learning rate: 2.678E-05 | global batch size:  1024 | lm loss: 6.445535E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.524 | tokens per gpu per second (tgs): 1603.026 | TFLOPs: 1.38 |
 iteration      575/    1000 | consumed samples:       588800 | consumed tokens:    150732800 | elapsed time per iteration (ms): 81769.2 | learning rate: 2.670E-05 | global batch size:  1024 | lm loss: 6.439132E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.523 | tokens per gpu per second (tgs): 1602.951 | TFLOPs: 1.38 |
 iteration      576/    1000 | consumed samples:       589824 | consumed tokens:    150994944 | elapsed time per iteration (ms): 81735.1 | learning rate: 2.661E-05 | global batch size:  1024 | lm loss: 6.495010E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.528 | tokens per gpu per second (tgs): 1603.620 | TFLOPs: 1.38 |
 iteration      577/    1000 | consumed samples:       590848 | consumed tokens:    151257088 | elapsed time per iteration (ms): 81579.5 | learning rate: 2.653E-05 | global batch size:  1024 | lm loss: 6.470853E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.552 | tokens per gpu per second (tgs): 1606.679 | TFLOPs: 1.38 |
 iteration      578/    1000 | consumed samples:       591872 | consumed tokens:    151519232 | elapsed time per iteration (ms): 81630.9 | learning rate: 2.645E-05 | global batch size:  1024 | lm loss: 6.462420E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.544 | tokens per gpu per second (tgs): 1605.666 | TFLOPs: 1.38 |
 iteration      579/    1000 | consumed samples:       592896 | consumed tokens:    151781376 | elapsed time per iteration (ms): 81597.6 | learning rate: 2.637E-05 | global batch size:  1024 | lm loss: 6.415640E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.549 | tokens per gpu per second (tgs): 1606.323 | TFLOPs: 1.38 |
 iteration      580/    1000 | consumed samples:       593920 | consumed tokens:    152043520 | elapsed time per iteration (ms): 81692.3 | learning rate: 2.629E-05 | global batch size:  1024 | lm loss: 6.459430E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.535 | tokens per gpu per second (tgs): 1604.460 | TFLOPs: 1.38 |
 iteration      581/    1000 | consumed samples:       594944 | consumed tokens:    152305664 | elapsed time per iteration (ms): 81541.0 | learning rate: 2.620E-05 | global batch size:  1024 | lm loss: 6.460414E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.558 | tokens per gpu per second (tgs): 1607.438 | TFLOPs: 1.38 |
 iteration      582/    1000 | consumed samples:       595968 | consumed tokens:    152567808 | elapsed time per iteration (ms): 81465.7 | learning rate: 2.612E-05 | global batch size:  1024 | lm loss: 6.427618E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.570 | tokens per gpu per second (tgs): 1608.922 | TFLOPs: 1.38 |
 iteration      583/    1000 | consumed samples:       596992 | consumed tokens:    152829952 | elapsed time per iteration (ms): 81942.5 | learning rate: 2.604E-05 | global batch size:  1024 | lm loss: 6.397094E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.497 | tokens per gpu per second (tgs): 1599.560 | TFLOPs: 1.38 |
 iteration      584/    1000 | consumed samples:       598016 | consumed tokens:    153092096 | elapsed time per iteration (ms): 81889.9 | learning rate: 2.596E-05 | global batch size:  1024 | lm loss: 6.441878E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.505 | tokens per gpu per second (tgs): 1600.588 | TFLOPs: 1.38 |
 iteration      585/    1000 | consumed samples:       599040 | consumed tokens:    153354240 | elapsed time per iteration (ms): 81995.1 | learning rate: 2.588E-05 | global batch size:  1024 | lm loss: 6.435660E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.489 | tokens per gpu per second (tgs): 1598.535 | TFLOPs: 1.38 |
 iteration      586/    1000 | consumed samples:       600064 | consumed tokens:    153616384 | elapsed time per iteration (ms): 81651.9 | learning rate: 2.579E-05 | global batch size:  1024 | lm loss: 6.460707E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.541 | tokens per gpu per second (tgs): 1605.253 | TFLOPs: 1.38 |
 iteration      587/    1000 | consumed samples:       601088 | consumed tokens:    153878528 | elapsed time per iteration (ms): 81506.1 | learning rate: 2.571E-05 | global batch size:  1024 | lm loss: 6.458135E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.563 | tokens per gpu per second (tgs): 1608.124 | TFLOPs: 1.38 |
 iteration      588/    1000 | consumed samples:       602112 | consumed tokens:    154140672 | elapsed time per iteration (ms): 82033.8 | learning rate: 2.563E-05 | global batch size:  1024 | lm loss: 6.434065E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.483 | tokens per gpu per second (tgs): 1597.780 | TFLOPs: 1.37 |
 iteration      589/    1000 | consumed samples:       603136 | consumed tokens:    154402816 | elapsed time per iteration (ms): 82031.1 | learning rate: 2.555E-05 | global batch size:  1024 | lm loss: 6.462357E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.483 | tokens per gpu per second (tgs): 1597.833 | TFLOPs: 1.37 |
 iteration      590/    1000 | consumed samples:       604160 | consumed tokens:    154664960 | elapsed time per iteration (ms): 81722.9 | learning rate: 2.547E-05 | global batch size:  1024 | lm loss: 6.432892E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.530 | tokens per gpu per second (tgs): 1603.858 | TFLOPs: 1.38 |
 iteration      591/    1000 | consumed samples:       605184 | consumed tokens:    154927104 | elapsed time per iteration (ms): 81538.7 | learning rate: 2.539E-05 | global batch size:  1024 | lm loss: 6.449471E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.558 | tokens per gpu per second (tgs): 1607.482 | TFLOPs: 1.38 |
 iteration      592/    1000 | consumed samples:       606208 | consumed tokens:    155189248 | elapsed time per iteration (ms): 81531.2 | learning rate: 2.530E-05 | global batch size:  1024 | lm loss: 6.452570E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.560 | tokens per gpu per second (tgs): 1607.631 | TFLOPs: 1.38 |
 iteration      593/    1000 | consumed samples:       607232 | consumed tokens:    155451392 | elapsed time per iteration (ms): 81798.6 | learning rate: 2.522E-05 | global batch size:  1024 | lm loss: 6.456205E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.519 | tokens per gpu per second (tgs): 1602.374 | TFLOPs: 1.38 |
 iteration      594/    1000 | consumed samples:       608256 | consumed tokens:    155713536 | elapsed time per iteration (ms): 81714.4 | learning rate: 2.514E-05 | global batch size:  1024 | lm loss: 6.455629E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.531 | tokens per gpu per second (tgs): 1604.026 | TFLOPs: 1.38 |
 iteration      595/    1000 | consumed samples:       609280 | consumed tokens:    155975680 | elapsed time per iteration (ms): 81723.3 | learning rate: 2.506E-05 | global batch size:  1024 | lm loss: 6.370759E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.530 | tokens per gpu per second (tgs): 1603.852 | TFLOPs: 1.38 |
 iteration      596/    1000 | consumed samples:       610304 | consumed tokens:    156237824 | elapsed time per iteration (ms): 81704.3 | learning rate: 2.498E-05 | global batch size:  1024 | lm loss: 6.464310E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.533 | tokens per gpu per second (tgs): 1604.224 | TFLOPs: 1.38 |
 iteration      597/    1000 | consumed samples:       611328 | consumed tokens:    156499968 | elapsed time per iteration (ms): 81898.9 | learning rate: 2.490E-05 | global batch size:  1024 | lm loss: 6.463348E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.503 | tokens per gpu per second (tgs): 1600.412 | TFLOPs: 1.38 |
 iteration      598/    1000 | consumed samples:       612352 | consumed tokens:    156762112 | elapsed time per iteration (ms): 81841.0 | learning rate: 2.482E-05 | global batch size:  1024 | lm loss: 6.421183E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.512 | tokens per gpu per second (tgs): 1601.544 | TFLOPs: 1.38 |
 iteration      599/    1000 | consumed samples:       613376 | consumed tokens:    157024256 | elapsed time per iteration (ms): 81968.8 | learning rate: 2.474E-05 | global batch size:  1024 | lm loss: 6.401788E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.493 | tokens per gpu per second (tgs): 1599.046 | TFLOPs: 1.38 |
 iteration      600/    1000 | consumed samples:       614400 | consumed tokens:    157286400 | elapsed time per iteration (ms): 82004.1 | learning rate: 2.466E-05 | global batch size:  1024 | lm loss: 6.426514E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.487 | tokens per gpu per second (tgs): 1598.359 | TFLOPs: 1.38 |
 iteration      601/    1000 | consumed samples:       615424 | consumed tokens:    157548544 | elapsed time per iteration (ms): 82288.1 | learning rate: 2.458E-05 | global batch size:  1024 | lm loss: 6.426499E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.444 | tokens per gpu per second (tgs): 1592.843 | TFLOPs: 1.37 |
 iteration      602/    1000 | consumed samples:       616448 | consumed tokens:    157810688 | elapsed time per iteration (ms): 82183.2 | learning rate: 2.450E-05 | global batch size:  1024 | lm loss: 6.412239E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.460 | tokens per gpu per second (tgs): 1594.876 | TFLOPs: 1.37 |
 iteration      603/    1000 | consumed samples:       617472 | consumed tokens:    158072832 | elapsed time per iteration (ms): 81904.5 | learning rate: 2.441E-05 | global batch size:  1024 | lm loss: 6.445143E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.502 | tokens per gpu per second (tgs): 1600.303 | TFLOPs: 1.38 |
 iteration      604/    1000 | consumed samples:       618496 | consumed tokens:    158334976 | elapsed time per iteration (ms): 81727.1 | learning rate: 2.433E-05 | global batch size:  1024 | lm loss: 6.465868E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.530 | tokens per gpu per second (tgs): 1603.777 | TFLOPs: 1.38 |
 iteration      605/    1000 | consumed samples:       619520 | consumed tokens:    158597120 | elapsed time per iteration (ms): 81749.6 | learning rate: 2.425E-05 | global batch size:  1024 | lm loss: 6.412364E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.526 | tokens per gpu per second (tgs): 1603.335 | TFLOPs: 1.38 |
 iteration      606/    1000 | consumed samples:       620544 | consumed tokens:    158859264 | elapsed time per iteration (ms): 81963.9 | learning rate: 2.417E-05 | global batch size:  1024 | lm loss: 6.444799E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.493 | tokens per gpu per second (tgs): 1599.143 | TFLOPs: 1.38 |
 iteration      607/    1000 | consumed samples:       621568 | consumed tokens:    159121408 | elapsed time per iteration (ms): 81775.6 | learning rate: 2.409E-05 | global batch size:  1024 | lm loss: 6.418863E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.522 | tokens per gpu per second (tgs): 1602.826 | TFLOPs: 1.38 |
 iteration      608/    1000 | consumed samples:       622592 | consumed tokens:    159383552 | elapsed time per iteration (ms): 81840.0 | learning rate: 2.401E-05 | global batch size:  1024 | lm loss: 6.446669E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.512 | tokens per gpu per second (tgs): 1601.564 | TFLOPs: 1.38 |
 iteration      609/    1000 | consumed samples:       623616 | consumed tokens:    159645696 | elapsed time per iteration (ms): 82006.9 | learning rate: 2.393E-05 | global batch size:  1024 | lm loss: 6.418722E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.487 | tokens per gpu per second (tgs): 1598.304 | TFLOPs: 1.38 |
 iteration      610/    1000 | consumed samples:       624640 | consumed tokens:    159907840 | elapsed time per iteration (ms): 82136.4 | learning rate: 2.385E-05 | global batch size:  1024 | lm loss: 6.429062E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.467 | tokens per gpu per second (tgs): 1595.784 | TFLOPs: 1.37 |
 iteration      611/    1000 | consumed samples:       625664 | consumed tokens:    160169984 | elapsed time per iteration (ms): 81971.6 | learning rate: 2.377E-05 | global batch size:  1024 | lm loss: 6.408229E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.492 | tokens per gpu per second (tgs): 1598.993 | TFLOPs: 1.38 |
 iteration      612/    1000 | consumed samples:       626688 | consumed tokens:    160432128 | elapsed time per iteration (ms): 81916.3 | learning rate: 2.369E-05 | global batch size:  1024 | lm loss: 6.409297E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.501 | tokens per gpu per second (tgs): 1600.072 | TFLOPs: 1.38 |
 iteration      613/    1000 | consumed samples:       627712 | consumed tokens:    160694272 | elapsed time per iteration (ms): 82019.8 | learning rate: 2.362E-05 | global batch size:  1024 | lm loss: 6.420484E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.485 | tokens per gpu per second (tgs): 1598.054 | TFLOPs: 1.37 |
 iteration      614/    1000 | consumed samples:       628736 | consumed tokens:    160956416 | elapsed time per iteration (ms): 82026.1 | learning rate: 2.354E-05 | global batch size:  1024 | lm loss: 6.429873E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.484 | tokens per gpu per second (tgs): 1597.931 | TFLOPs: 1.37 |
 iteration      615/    1000 | consumed samples:       629760 | consumed tokens:    161218560 | elapsed time per iteration (ms): 82105.7 | learning rate: 2.346E-05 | global batch size:  1024 | lm loss: 6.443124E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.472 | tokens per gpu per second (tgs): 1596.382 | TFLOPs: 1.37 |
 iteration      616/    1000 | consumed samples:       630784 | consumed tokens:    161480704 | elapsed time per iteration (ms): 82019.1 | learning rate: 2.338E-05 | global batch size:  1024 | lm loss: 6.448903E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.485 | tokens per gpu per second (tgs): 1598.066 | TFLOPs: 1.37 |
 iteration      617/    1000 | consumed samples:       631808 | consumed tokens:    161742848 | elapsed time per iteration (ms): 82114.5 | learning rate: 2.330E-05 | global batch size:  1024 | lm loss: 6.406687E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.470 | tokens per gpu per second (tgs): 1596.211 | TFLOPs: 1.37 |
 iteration      618/    1000 | consumed samples:       632832 | consumed tokens:    162004992 | elapsed time per iteration (ms): 81893.0 | learning rate: 2.322E-05 | global batch size:  1024 | lm loss: 6.431735E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.504 | tokens per gpu per second (tgs): 1600.527 | TFLOPs: 1.38 |
 iteration      619/    1000 | consumed samples:       633856 | consumed tokens:    162267136 | elapsed time per iteration (ms): 82042.7 | learning rate: 2.314E-05 | global batch size:  1024 | lm loss: 6.434268E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.481 | tokens per gpu per second (tgs): 1597.608 | TFLOPs: 1.37 |
 iteration      620/    1000 | consumed samples:       634880 | consumed tokens:    162529280 | elapsed time per iteration (ms): 82162.8 | learning rate: 2.306E-05 | global batch size:  1024 | lm loss: 6.395442E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.463 | tokens per gpu per second (tgs): 1595.272 | TFLOPs: 1.37 |
 iteration      621/    1000 | consumed samples:       635904 | consumed tokens:    162791424 | elapsed time per iteration (ms): 81830.3 | learning rate: 2.298E-05 | global batch size:  1024 | lm loss: 6.438424E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.514 | tokens per gpu per second (tgs): 1601.754 | TFLOPs: 1.38 |
 iteration      622/    1000 | consumed samples:       636928 | consumed tokens:    163053568 | elapsed time per iteration (ms): 81620.4 | learning rate: 2.290E-05 | global batch size:  1024 | lm loss: 6.397852E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.546 | tokens per gpu per second (tgs): 1605.873 | TFLOPs: 1.38 |
 iteration      623/    1000 | consumed samples:       637952 | consumed tokens:    163315712 | elapsed time per iteration (ms): 81797.4 | learning rate: 2.282E-05 | global batch size:  1024 | lm loss: 6.422362E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.519 | tokens per gpu per second (tgs): 1602.398 | TFLOPs: 1.38 |
 iteration      624/    1000 | consumed samples:       638976 | consumed tokens:    163577856 | elapsed time per iteration (ms): 81992.9 | learning rate: 2.275E-05 | global batch size:  1024 | lm loss: 6.382887E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.489 | tokens per gpu per second (tgs): 1598.577 | TFLOPs: 1.38 |
 iteration      625/    1000 | consumed samples:       640000 | consumed tokens:    163840000 | elapsed time per iteration (ms): 82054.4 | learning rate: 2.267E-05 | global batch size:  1024 | lm loss: 6.385520E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.480 | tokens per gpu per second (tgs): 1597.380 | TFLOPs: 1.37 |
 iteration      626/    1000 | consumed samples:       641024 | consumed tokens:    164102144 | elapsed time per iteration (ms): 82087.9 | learning rate: 2.259E-05 | global batch size:  1024 | lm loss: 6.397643E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.474 | tokens per gpu per second (tgs): 1596.727 | TFLOPs: 1.37 |
 iteration      627/    1000 | consumed samples:       642048 | consumed tokens:    164364288 | elapsed time per iteration (ms): 81899.8 | learning rate: 2.251E-05 | global batch size:  1024 | lm loss: 6.432877E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.503 | tokens per gpu per second (tgs): 1600.394 | TFLOPs: 1.38 |
 iteration      628/    1000 | consumed samples:       643072 | consumed tokens:    164626432 | elapsed time per iteration (ms): 81781.9 | learning rate: 2.243E-05 | global batch size:  1024 | lm loss: 6.418157E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.521 | tokens per gpu per second (tgs): 1602.701 | TFLOPs: 1.38 |
 iteration      629/    1000 | consumed samples:       644096 | consumed tokens:    164888576 | elapsed time per iteration (ms): 81762.1 | learning rate: 2.235E-05 | global batch size:  1024 | lm loss: 6.429519E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.524 | tokens per gpu per second (tgs): 1603.090 | TFLOPs: 1.38 |
